file_urls,title
[[<Selector xpath='@src' data='http://i7.mangareader.net/yu-gi-oh-gx/1/'>]],1
file_urls,title
[<Selector xpath='@src' data='http://i7.mangareader.net/yu-gi-oh-gx/1/'>],1
file_urls,title
[<Selector xpath='@src' data='http://i7.mangareader.net/yu-gi-oh-gx/1/'>],1
file_urls,title
http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,1
title,file_urls
<h1>Yu-Gi-Oh! GX 1</h1>,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
title,file_urls
Yu-Gi-Oh! GX 1,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
title,file_urls
Yu-Gi-Oh! GX 1,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
file_urls,title
http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,Yu-Gi-Oh! GX 1
file_urls,title
http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,Yu-Gi-Oh! GX 1
title,file_urls
Yu-Gi-Oh! GX 1,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg
page,img,chapter
1  ,http://i7.mangareader.net/yu-gi-oh-gx/1/yu-gi-oh-gx-473910.jpg,Yu-Gi-Oh! GX 1
chapter,page,img
Yu-Gi-Oh! GX 2,17  ,http://i10.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473957.jpg
Yu-Gi-Oh! GX 2,18  ,http://i6.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473958.jpg
Yu-Gi-Oh! GX 2,19  ,http://i2.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473959.jpg
Yu-Gi-Oh! GX 2,20  ,http://i9.mangareader.net/yu-gi-oh-gx/2/yu-gi-oh-gx-473960.jpg
Yu-Gi-Oh! GX 3,1  ,http://i2.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473961.jpg
Yu-Gi-Oh! GX 3,2  ,http://i8.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473962.jpg
Yu-Gi-Oh! GX 3,3  ,http://i8.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473963.jpg
Yu-Gi-Oh! GX 3,4  ,http://i10.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473964.jpg
Yu-Gi-Oh! GX 3,5  ,http://i10.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473965.jpg
Yu-Gi-Oh! GX 3,6  ,http://i10.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473966.jpg
Yu-Gi-Oh! GX 3,7  ,http://i2.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473967.jpg
Yu-Gi-Oh! GX 3,8  ,http://i6.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473968.jpg
Yu-Gi-Oh! GX 3,9  ,http://i8.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473969.jpg
Yu-Gi-Oh! GX 3,10  ,http://i2.mangareader.net/yu-gi-oh-gx/3/yu-gi-oh-gx-473970.jpg
